id,Tip restavracije
1,Food Court
1,Fruits & Veggies
1,Health Markets
2,Italian
3,American (Traditional)
3,Burgers
4,Burgers
4,American (Traditional)
4,Street Vendors
5,Italian
5,Pizza
5,Vegan
6,Modern Australian
6,Wine Bars
7,Cafes
7,Coffee & Tea
7,Breakfast & Brunch
8,Gluten-Free
8,Breakfast & Brunch
8,Coffee & Tea
9,Patisserie/Cake Shop
9,Coffee & Tea
9,Cafes
10,Korean
10,Fast Food
11,Coffee & Tea
11,Breakfast & Brunch
11,Sandwiches
12,Vietnamese
12,Asian Fusion
13,Chinese
13,Fast Food
14,Cafes
14,Breakfast & Brunch
14,Venues & Event Spaces
15,Wine Bars
15,Tapas/Small Plates
15,Cocktail Bars
16,Thai
17,Vietnamese
18,Burgers
18,American (Traditional)
19,Cafes
19,Vegan
19,Gluten-Free
20,Chinese
21,Italian
21,Tapas/Small Plates
22,Thai
23,Coffee & Tea
23,Breakfast & Brunch
24,Farmers Market
24,Vegan
24,Organic Stores
25,Pizza
25,Tapas/Small Plates
26,Mexican
26,Fast Food
26,Beer Gardens
27,Modern Australian
27,American (Traditional)
27,Beer Bar
28,Coffee & Tea
28,Breakfast & Brunch
29,Italian
29,Breakfast & Brunch
29,Pizza
30,Japanese
30,Sushi Bars
31,Italian
31,Pizza
31,Venues & Event Spaces
32,Modern Australian
33,Tapas/Small Plates
33,Modern Australian
33,Cafes
34,Coffee & Tea
34,Breakfast & Brunch
34,Cafes
35,Venues & Event Spaces
35,Modern Australian
35,Beer Gardens
36,Venues & Event Spaces
36,Argentine
37,Coffee & Tea
37,Cafes
38,Bars
38,Coffee & Tea
38,Breakfast & Brunch
39,Coffee & Tea
39,Creperies
39,French
40,Cafes
40,Juice Bars & Smoothies
40,Breakfast & Brunch
41,Cocktail Bars
41,American (Traditional)
41,Tapas/Small Plates
42,Asian Fusion
42,Fast Food
42,Korean
43,Venues & Event Spaces
43,Italian
43,Breakfast & Brunch
44,Greek
44,Coffee & Tea
44,Breakfast & Brunch
45,Bars
45,Mediterranean
45,Tapas/Small Plates
46,Chinese
46,Fast Food
46,Asian Fusion
47,American (Traditional)
47,Beer Bar
47,Whiskey Bars
48,Tapas/Small Plates
48,Pizza
48,Breakfast & Brunch
49,Tapas/Small Plates
49,Wine Bars
49,Cocktail Bars
50,Italian
50,Pizza
51,Sushi Bars
51,Japanese
52,Chinese
52,Seafood
52,Soup
53,Vegan
53,Vegetarian
53,Southern
54,American (New)
54,Breakfast & Brunch
55,Mexican
56,Burmese
56,Seafood
56,Noodles
57,Latin American
57,American (New)
58,Pubs
58,Belgian
59,Jazz & Blues
59,Japanese
59,Music Venues
60,Dim Sum
60,Seafood
61,Tiki Bars
62,Breakfast & Brunch
62,Waffles
62,Coffee & Tea
63,Cajun/Creole
63,Seafood
64,German
64,Bars
64,Modern European
65,Sushi Bars
65,Japanese
66,Mexican
66,Tapas/Small Plates
66,Tapas Bars
67,Seafood
67,Steakhouses
67,American (Traditional)
68,Pizza
68,Burgers
68,Salad
